Time,rm_dollar,rm_real,president_us,president_br
2001-02-12,0.9368066666666667,1.8410666666666666,Bush,FHC
2001-02-13,0.9363133333333333,1.8413466666666667,Bush,FHC
2001-02-14,0.9351400000000001,1.8404566666666669,Bush,FHC
2001-02-15,0.9339133333333333,1.8394166666666665,Bush,FHC
2001-02-16,0.9324733333333334,1.83795,Bush,FHC
2001-02-19,0.9315266666666666,1.8376833333333336,Bush,FHC
2001-02-20,0.9304233333333333,1.8372466666666665,Bush,FHC
2001-02-21,0.9295366666666667,1.83781,Bush,FHC
2001-02-22,0.9279799999999999,1.8373733333333333,Bush,FHC
2001-02-23,0.9263766666666666,1.8369566666666666,Bush,FHC
2001-02-26,0.9253,1.83741,Bush,FHC
2001-02-27,0.9244699999999999,1.8383833333333333,Bush,FHC
2001-02-28,0.9239766666666667,1.8400566666666665,Bush,FHC
2001-03-01,0.9235266666666667,1.8419566666666667,Bush,FHC
2001-03-02,0.9234033333333332,1.8444066666666667,Bush,FHC
2001-03-05,0.9234533333333333,1.8465033333333334,Bush,FHC
2001-03-06,0.9230266666666667,1.8474933333333332,Bush,FHC
2001-03-07,0.92307,1.8497500000000002,Bush,FHC
2001-03-08,0.9236233333333334,1.8528166666666668,Bush,FHC
2001-03-09,0.9240533333333334,1.8564066666666668,Bush,FHC
2001-03-12,0.9243166666666667,1.85929,Bush,FHC
2001-03-13,0.9243333333333332,1.8620833333333335,Bush,FHC
2001-03-14,0.9239633333333334,1.8645066666666668,Bush,FHC
2001-03-15,0.9228233333333333,1.8653433333333331,Bush,FHC
2001-03-16,0.92129,1.8662833333333333,Bush,FHC
2001-03-19,0.9198599999999999,1.8676966666666668,Bush,FHC
2001-03-20,0.9188533333333333,1.8692633333333333,Bush,FHC
2001-03-21,0.9177366666666666,1.86996,Bush,FHC
2001-03-22,0.9166333333333333,1.8718766666666666,Bush,FHC
2001-03-23,0.9156166666666666,1.8748333333333334,Bush,FHC
2001-03-26,0.91444,1.8781433333333335,Bush,FHC
2001-03-27,0.9133633333333333,1.8805033333333334,Bush,FHC
2001-03-28,0.9123033333333334,1.8821733333333333,Bush,FHC
2001-03-29,0.91147,1.8847966666666667,Bush,FHC
2001-03-30,0.9105333333333333,1.88767,Bush,FHC
2001-04-02,0.9090633333333334,1.88905,Bush,FHC
2001-04-03,0.9083133333333334,1.8922933333333336,Bush,FHC
2001-04-04,0.9079333333333334,1.8963866666666669,Bush,FHC
2001-04-05,0.9078133333333334,1.9003066666666666,Bush,FHC
2001-04-06,0.9074000000000001,1.9026800000000001,Bush,FHC
2001-04-09,0.90711,1.9060866666666667,Bush,FHC
2001-04-10,0.9063833333333334,1.9082166666666667,Bush,FHC
2001-04-11,0.9050233333333334,1.90844,Bush,FHC
2001-04-12,0.9036233333333333,1.9088166666666666,Bush,FHC
2001-04-17,0.9017166666666667,1.9093766666666665,Bush,FHC
2001-04-18,0.89996,1.9109466666666668,Bush,FHC
2001-04-19,0.8984533333333334,1.9125699999999999,Bush,FHC
2001-04-20,0.8973933333333334,1.914983333333333,Bush,FHC
2001-04-23,0.8963599999999999,1.9188766666666666,Bush,FHC
2001-04-24,0.89508,1.9219366666666666,Bush,FHC
2001-04-25,0.8939966666666667,1.9264999999999999,Bush,FHC
2001-04-26,0.8933666666666668,1.93187,Bush,FHC
2001-04-27,0.8928366666666666,1.9359299999999997,Bush,FHC
2001-04-30,0.8922100000000001,1.9382333333333333,Bush,FHC
2001-05-02,0.8920766666666666,1.94017,Bush,FHC
2001-05-03,0.8917666666666667,1.94255,Bush,FHC
2001-05-04,0.8914966666666667,1.94469,Bush,FHC
2001-05-07,0.89126,1.9473899999999997,Bush,FHC
2001-05-08,0.8911833333333334,1.9495466666666665,Bush,FHC
2001-05-09,0.8908666666666668,1.95123,Bush,FHC
2001-05-10,0.8905833333333334,1.9533166666666666,Bush,FHC
2001-05-11,0.8899866666666667,1.9557433333333334,Bush,FHC
2001-05-14,0.8896033333333333,1.9597566666666668,Bush,FHC
2001-05-15,0.8893633333333334,1.9648666666666665,Bush,FHC
2001-05-16,0.88937,1.9702666666666666,Bush,FHC
2001-05-17,0.8895133333333333,1.9751566666666667,Bush,FHC
2001-05-18,0.8892866666666667,1.9785266666666665,Bush,FHC
2001-05-21,0.88836,1.9802133333333332,Bush,FHC
2001-05-22,0.8872433333333334,1.9818500000000001,Bush,FHC
2001-05-23,0.88606,1.9843166666666667,Bush,FHC
2001-05-24,0.88468,1.9865533333333332,Bush,FHC
2001-05-25,0.8835,1.98959,Bush,FHC
2001-05-28,0.8826466666666666,1.9929033333333335,Bush,FHC
2001-05-29,0.8816566666666666,1.9960466666666667,Bush,FHC
2001-05-30,0.88088,1.9986633333333335,Bush,FHC
2001-05-31,0.8798866666666666,2.0005433333333333,Bush,FHC
2001-06-01,0.8787233333333333,2.0035233333333333,Bush,FHC
2001-06-04,0.8771366666666667,2.0054600000000002,Bush,FHC
2001-06-05,0.8753466666666667,2.00568,Bush,FHC
2001-06-06,0.8739133333333332,2.00592,Bush,FHC
2001-06-07,0.87231,2.0052533333333336,Bush,FHC
2001-06-08,0.8704933333333333,2.0032533333333333,Bush,FHC
2001-06-11,0.86873,2.0026333333333333,Bush,FHC
2001-06-12,0.86739,2.0047033333333335,Bush,FHC
2001-06-13,0.8661733333333335,2.0079333333333333,Bush,FHC
2001-06-14,0.8648033333333334,2.0102366666666667,Bush,FHC
2001-06-15,0.86388,2.0144033333333335,Bush,FHC
2001-06-18,0.8627533333333334,2.017676666666667,Bush,FHC
2001-06-19,0.8617433333333333,2.022606666666667,Bush,FHC
2001-06-20,0.8606966666666666,2.0270433333333333,Bush,FHC
2001-06-21,0.8597033333333334,2.0302966666666666,Bush,FHC
2001-06-22,0.8588866666666667,2.03164,Bush,FHC
2001-06-25,0.8584266666666667,2.0309033333333333,Bush,FHC
2001-06-26,0.8579033333333332,2.0292233333333334,Bush,FHC
2001-06-27,0.8571966666666667,2.027503333333333,Bush,FHC
2001-06-28,0.8561833333333334,2.024526666666667,Bush,FHC
2001-06-29,0.8551933333333334,2.0227033333333333,Bush,FHC
2001-07-02,0.8541966666666667,2.020613333333333,Bush,FHC
2001-07-03,0.8535699999999999,2.0195933333333334,Bush,FHC
2001-07-04,0.85313,2.0192133333333335,Bush,FHC
2001-07-05,0.8525233333333333,2.01981,Bush,FHC
2001-07-06,0.8518333333333333,2.0215133333333335,Bush,FHC
2001-07-09,0.8514166666666667,2.024383333333333,Bush,FHC
2001-07-10,0.8513933333333334,2.02744,Bush,FHC
2001-07-11,0.85157,2.033166666666667,Bush,FHC
2001-07-12,0.8517633333333333,2.0400566666666666,Bush,FHC
2001-07-13,0.8519666666666666,2.04569,Bush,FHC
2001-07-16,0.8522,2.05195,Bush,FHC
2001-07-17,0.8523700000000001,2.057846666666667,Bush,FHC
2001-07-18,0.8526600000000001,2.06058,Bush,FHC
2001-07-19,0.8535166666666666,2.0665633333333333,Bush,FHC
2001-07-20,0.8545433333333334,2.0731033333333335,Bush,FHC
2001-07-23,0.85515,2.076966666666667,Bush,FHC
2001-07-24,0.8559300000000001,2.0798033333333334,Bush,FHC
2001-07-25,0.8567666666666667,2.08381,Bush,FHC
